1	3	1128	9.38E-04
2	3	2613	9.38E-04
3	3	1309	9.38E-04
4	4	3	7.33E-04
5	4	1128	0.001015501
6	4	2613	0.001015501
7	4	1309	0.001015501
8	5	1756	4.53E-04
9	5	850	5.04E-04
10	5	2064	5.21E-04
11	5	535	5.62E-04
12	5	1657	5.73E-04
13	5	963	6.48E-04
14	5	536	7.18E-04
15	5	1773	8.29E-04
16	5	1719	8.51E-04
17	5	2440	9.66E-04
18	5	2237	9.80E-04
19	5	865	9.99E-04
20	5	2409	0.001126848
21	5	2421	0.001156014
22	5	2295	0.001195516
23	6	150	4.77E-04
24	6	815	4.77E-04
25	8	126	0.001165462
26	10	975	9.28E-04
27	10	799	0.001182838
28	11	2343	7.05E-04
29	11	12	7.46E-04
30	11	1666	7.48E-04
31	11	2041	8.52E-04
32	11	1444	9.58E-04
33	11	1777	1.00E-03
34	11	2209	0.001043546
35	11	1015	0.00109988
36	11	1622	0.001156334
37	11	1552	0.001193245
38	12	1444	6.47E-04
39	12	1777	6.89E-04
40	12	2209	7.33E-04
41	12	11	7.46E-04
42	12	1622	8.46E-04
43	12	1524	9.10E-04
44	12	2343	0.001093495
45	12	1666	0.001136825
46	13	1355	6.89E-04
47	13	21	6.89E-04
48	13	1683	6.89E-04
49	13	2164	6.89E-04
50	13	1431	0.001170427
51	14	689	4.59E-04
52	14	1326	0.001068157
53	15	1439	0.001031028
54	18	1281	9.90E-04
55	19	1891	4.97E-04
56	19	959	4.97E-04
57	19	2493	5.14E-04
58	19	1404	0.001033992
59	20	347	5.03E-04
60	21	1355	3.37E-04
61	21	1683	3.37E-04
62	21	2164	3.37E-04
63	21	1431	8.19E-04
64	22	1708	0.001048823
65	24	1989	3.89E-04
66	24	2013	4.64E-04
67	24	1193	6.13E-04
68	24	1163	7.01E-04
69	24	1454	8.47E-04
70	24	1179	9.74E-04
71	24	1724	0.001114282
72	28	1410	3.71E-04
73	28	951	3.71E-04
74	28	196	4.16E-04
75	28	2603	9.73E-04
76	28	430	9.73E-04
77	29	2090	6.03E-04
78	29	2123	7.50E-04
79	29	2492	9.06E-04
80	29	2093	9.40E-04
81	29	647	0.001070165
82	29	2325	0.001114919
83	29	1449	0.001176433
84	30	1516	4.56E-04
85	30	2291	5.43E-04
86	30	2088	5.93E-04
87	30	2486	6.45E-04
88	30	203	7.28E-04
89	30	2587	7.32E-04
90	30	91	8.23E-04
91	30	2477	8.61E-04
92	30	90	9.70E-04
93	30	2084	9.76E-04
94	30	2428	9.97E-04
95	30	1083	0.001035166
96	30	2089	0.001081651
97	30	2354	0.00108693
98	31	1112	3.36E-04
99	31	1697	3.36E-04
100	31	1698	3.36E-04
101	31	955	3.36E-04
102	31	956	3.36E-04
103	31	957	3.36E-04
104	31	958	3.36E-04
105	31	2150	3.93E-04
106	31	139	4.88E-04
107	31	2149	8.21E-04
108	33	1051	2.29E-04
109	34	2301	4.78E-04
110	34	2391	5.55E-04
111	34	1351	6.24E-04
112	34	1408	8.84E-04
113	34	532	9.88E-04
114	34	1350	0.001048281
115	34	144	0.001060685
116	34	1487	0.001112782
117	34	2501	0.00111316
118	35	1769	7.16E-04
119	35	1403	8.12E-04
120	35	1547	9.35E-04
121	35	1986	0.001090846
